name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
大锤迫击炮,ii_sledgegun,2,,500,1000,,65,,20,15,7,,,,HIGH_EXPLOSIVE,80,,0,1,1,,0,5,1,5,,1000,,,50,,,,"he7, LR, ii_wpn_bp, merc",,星际帝国,,压制,,,,,击中船体或装甲时，将有{%s}的几率造成{%s}高爆伤害。,50% | 30,,,,7650
勒克斯速射炮,ii_lux,3,0.3,800,700,,45,,1,20,7,,,,HIGH_EXPLOSIVE,30,,0,2.7,14,0.1,0,10,1,5,,1000,,,10,,,,"he7, LR, ii_rare_bp, rare_bp, merc",,星际帝国,,反装甲,,,,,,,,,,7651
短弓自动炮,ii_arcus,2,,400,650,,125,,5,30,6,,,,KINETIC,90,,0,1,1,,0,10,2,10,,1200,,,40,,,,"kinetic7, ii_wpn_bp, merc",,星际帝国,,反护盾,,,,,,,,,,7672
攻城迫击炮,ii_siegemortar,2,,450,800,,150,,8,15,6,,,,HIGH_EXPLOSIVE,100,,0,1.5,1,,0,20,5,10,,500,,,10,,,,"he6, LR, ii_wpn_bp, merc",,星际帝国,,反装甲,,,,,,,,,,7673
大锤加农炮,ii_sledgecannon,2,,2100,1500,,125,,50,5,13,,,,HIGH_EXPLOSIVE,175,,0,1.25,1,,0,5,1,5,,1100,,,100,,,,"he16, LR, ii_wpn_bp, merc",,星际帝国,,压制,,,,,击中船体或装甲时，将有{%s}的几率造成{%s}高爆伤害。,50% | 60,,,,7653
射手自动炮,ii_sagittarius,1,,1000,700,,72,,40,40,11,,,,FRAGMENTATION,22,,0,0.1,1,,0,15,0.5,5,,1500,,,15,,,"ANTI_FTR,PD,PD_ALSO","pd13, he8, kinetic8, ii_common_bp, ii_wpn_bp, ind, merc",,星际帝国,,多功能,,,,,若没有任何目标在射程之内，则会瞄准导弹。,,,,,7654
索利斯加农炮,ii_solis,3,0.3,2600,800,,325,,50,10,15,,,,HIGH_EXPLOSIVE,330,,0.2,2.2,1,,0,12,3,6,,800,,,50,,,,"he16, ii_rare_bp, rare_bp, hist1t, merc",,星际帝国,,反装甲,,,,,,,,,,7655
矛突自动炮,ii_telum,3,0.3,3000,800,,230,,25,7,15,,,,KINETIC,250,,0,2.4,3,0.3,0,10,1,5,,1200,,,50,,,,"kinetic16, ii_rare_bp, rare_bp, hist1t, merc",,星际帝国,,反护盾,,,,,,,,,,7656
轻型弩炮发射架,ii_smallballista,2,,250,6000,,225,,10,20,4,5,0.05,,HIGH_EXPLOSIVE,0,,0,10,1,,0,0,0,0,,150,50,50,50,,,"DO_NOT_AIM, DO_NOT_CONSERVE","utility7, missile3, ii_wpn_bp, merc, reload_2pt",,星际帝国,,反装甲,较慢 / 较快,较差,,,击中船体或装甲时有{%s}几率造成额外{%s}高爆伤害,50% | 350,与目标较近时将提高速度，如若未命中目标，则迅速失去动力。,,,7657
标枪 ASM (单),ii_javelinsingle,0,,100,1500,,1000,,25,30,1,1,,,HIGH_EXPLOSIVE,0,,0,5,1,,0,0,0,,,175,150,16,425,,,DO_NOT_AIM,"strike4, missile3, ii_common_bp, ind, reload_1_and_a_half_pt",,星际帝国,,终结打击,较慢,很差,,,,,,,TRUE,7658
标枪 ASM 发射架,ii_javelinsmall,1,,200,1500,,1000,,25,30,3,2,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,,,175,150,16,425,,,DO_NOT_AIM,"strike6, missile5, ii_wpn_bp, merc, reload_3pt",,星际帝国,,终结打击,较慢,很差,,,,,,,TRUE,7659
芬德 SRM 发射器,ii_fundae_s,2,,650,800,,40,,4,40,7,80,,,HIGH_EXPLOSIVE,0,,0,7.65,8,0.05,2,2,0,0,,400,500,4,30,,,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE","utility9, missile1, ii_wpn_bp, merc",,星际帝国,,反战机 (范围),较快,优秀,,,对附近的舰船、战机与导弹造成最多额外{%s}的破片伤害。,175,,,,7660
弩炮 LRM 发射器,ii_ballista,2,,1600,6000,,225,,10,10,12,40,0.15,4,HIGH_EXPLOSIVE,0,,0,11.1,4,0.3,0,0,0,0,,150,50,50,50,,,"DO_NOT_AIM, DO_NOT_CONSERVE","utility15, missile8, ii_wpn_bp, merc",,星际帝国,,远程支援,较慢 / 较快,较差,,,击中船体或装甲时有{%s}几率造成额外{%s}高爆伤害,50% | 350,与目标较近时将提高速度，如若未命中目标，则迅速失去动力。,,,7661
